,split,doc_id,sentence_num,words,tags,num_tokens
0,train,1,0,"['<per>', '<per>', ',', '61', 'years', 'old', ',', 'will', 'join', 'the', 'board', 'as', 'a', 'nonexecutive', 'director', 'nov.', '29', '.']","['NNP', 'NNP', ',', 'CD', 'NNS', 'JJ', ',', 'MD', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'CD', '.']",18
1,train,1,1,"['mr.', '<per>', 'is', 'chairman', 'of', '<org>', '<org>', ',', 'the', 'dutch', 'publishing', 'group', '.']","['NNP', 'NNP', 'VBZ', 'NN', 'IN', 'NNP', 'NNP', ',', 'DT', 'NNP', 'VBG', 'NN', '.']",13
2,train,2,0,"['<per>', '<per>', ',', '55', 'years', 'old', 'and', 'former', 'chairman', 'of', '<org>', '<org>', '<org>', '<org>', ',', 'was', 'named', 'a', 'nonexecutive', 'director', 'of', 'this', 'british', 'industrial', 'conglomerate', '.']","['NNP', 'NNP', ',', 'CD', 'NNS', 'JJ', 'CC', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBD', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', '.']",26
3,train,3,0,"['a', 'form', '<org>', 'asbestos', 'once', 'used', 'to', 'make', '<org>', 'cigarette', 'filters', 'has', 'caused', 'a', 'high', 'percentage', '<org>', 'cancer', 'deaths', 'among', 'a', 'group', '<org>', 'workers', 'exposed', 'to', 'it', '<num>', '<num>', '30', 'years', 'ago', ',', 'researchers', 'reported', '.']","['DT', 'NN', 'IN', 'NN', 'RB', 'VBN', 'TO', 'VB', 'NNP', 'NN', 'NNS', 'VBZ', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNS', 'VBN', 'TO', 'PRP', 'RBR', 'IN', 'CD', 'NNS', 'IN', ',', 'NNS', 'VBD', '.']",36
4,train,3,1,"['the', 'asbestos', 'fiber', ',', 'crocidolite', ',', 'is', 'unusually', 'resilient', 'once', 'it', 'enters', '<org>', 'lungs', ',', 'with', 'even', 'brief', 'exposures', 'to', 'it', 'causing', 'symptoms', 'that', 'show', 'up', 'decades', 'later', ',', 'researchers', 'said', '.']","['DT', 'NN', 'NN', ',', 'NN', ',', 'VBZ', 'RB', 'JJ', 'IN', 'PRP', 'VBZ', 'DT', 'NNS', ',', 'IN', 'RB', 'JJ', 'NNS', 'TO', 'PRP', 'VBG', 'NNS', 'WDT', 'VBP', 'RP', 'NNS', 'JJ', ',', 'NNS', 'VBD', '.']",32
5,train,3,2,"['<org>', '<org>', ',', '<org>', 'unit', '<org>', '<org>', 'york-based', '<org>', '<org>', 'that', 'makes', '<org>', 'cigarettes', ',', 'stopped', 'using', 'crocidolite', 'in', 'its', 'micronite', 'cigarette', 'filters', 'in', '1956', '.']","['NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'JJ', 'JJ', 'NNP', 'NNP', 'WDT', 'VBZ', 'NNP', 'NNS', ',', 'VBD', 'VBG', 'NN', 'IN', 'PRP$', 'NN', 'NN', 'NNS', 'IN', 'CD', '.']",26
6,train,3,3,"['although', 'preliminary', 'findings', 'were', 'reported', '<num>', '<num>', 'a', 'year', 'ago', ',', '<org>', 'latest', 'results', 'appear', 'in', 'today', ""'s"", '<org>', '<org>', '<org>', '<org>', '<org>', ',', 'a', 'forum', 'likely', 'to', 'bring', 'new', 'attention', 'to', '<org>', 'problem', '.']","['IN', 'JJ', 'NNS', 'VBD', 'VBN', 'RBR', 'IN', 'DT', 'NN', 'IN', ',', 'DT', 'JJS', 'NNS', 'VBP', 'IN', 'NN', 'POS', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', ',', 'DT', 'NN', 'JJ', 'TO', 'VB', 'JJ', 'NN', 'TO', 'DT', 'NN', '.']",35
7,train,3,4,"['a', '<org>', 'spokewoman', 'said', ',', '``', 'this', 'is', 'an', 'old', 'story', '.']","['DT', 'NNP', 'NN', 'VBD', ',', '``', 'DT', 'VBZ', 'DT', 'JJ', 'NN', '.']",12
8,train,3,5,"['we', ""'re"", 'talking', 'about', 'years', 'ago', 'before', 'anyone', 'heard', '<org>', 'asbestos', 'having', 'any', 'questionable', 'properties', '.']","['PRP', 'VBP', 'VBG', 'IN', 'NNS', 'IN', 'IN', 'NN', 'VBD', 'IN', 'NN', 'VBG', 'DT', 'JJ', 'NNS', '.']",16
9,train,3,6,"['there', 'is', 'no', 'asbestos', 'in', 'our', 'products', 'now', '.', ""''""]","['EX', 'VBZ', 'DT', 'NN', 'IN', 'PRP$', 'NNS', 'RB', '.', ""''""]",10
10,train,3,7,"['neither', '<org>', 'nor', '<org>', 'researchers', 'who', 'studied', '<org>', 'workers', 'were', 'aware', '<org>', 'any', 'research', 'on', 'smokers', '<org>', '<org>', '<org>', 'cigarettes', '.']","['DT', 'NNP', 'CC', 'DT', 'NNS', 'WP', 'VBD', 'DT', 'NNS', 'VBD', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NNP', 'NNS', '.']",21
11,train,3,8,"['``', 'we', 'have', 'no', 'useful', 'information', 'on', 'whether', 'users', 'are', 'at', 'risk', ',', ""''"", 'said', '<per>', '<per>', '<per>', '<org>', '<org>', ""'s"", '<org>', '<org>', '<org>', '.']","['``', 'PRP', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'IN', 'NNS', 'VBP', 'IN', 'NN', ',', ""''"", 'VBD', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'POS', 'NNP', 'NNP', 'NNP', '.']",25
12,train,3,9,"['dr.', '<per>', 'led', 'a', 'team', '<org>', 'researchers', 'from', '<org>', '<org>', '<org>', '<org>', 'and', '<org>', 'medical', 'schools', '<org>', '<org>', '<org>', 'and', '<org>', '<org>', '.']","['NNP', 'NNP', 'VBD', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'CC', 'DT', 'JJ', 'NNS', 'IN', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', '.']",23
13,train,3,10,"['the', '<org>', 'spokeswoman', 'said', 'asbestos', 'was', 'used', 'in', '``', 'very', 'modest', 'amounts', ""''"", 'in', 'making', 'paper', 'for', '<org>', 'filters', 'in', '<org>', 'early', '1950s', 'and', 'replaced', 'with', 'a', 'different', 'type', '<org>', 'filter', 'in', '1956', '.']","['DT', 'NNP', 'NN', 'VBD', 'NN', 'VBD', 'VBN', 'IN', '``', 'RB', 'JJ', 'NNS', ""''"", 'IN', 'VBG', 'NN', 'IN', 'DT', 'NNS', 'IN', 'DT', 'JJ', 'CD', 'CC', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'CD', '.']",34
14,train,3,11,"['from', '1953', 'to', '1955', ',', '9.8', 'billion', '<org>', 'cigarettes', 'with', '<org>', 'filters', 'were', 'sold', ',', '<org>', 'company', 'said', '.']","['IN', 'CD', 'TO', 'CD', ',', 'CD', 'CD', 'NNP', 'NNS', 'IN', 'DT', 'NNS', 'VBD', 'VBN', ',', 'DT', 'NN', 'VBD', '.']",19
15,train,3,12,"['among', '<num>', 'men', 'who', 'worked', 'closely', 'with', '<org>', 'substance', ',', '<num>', 'have', 'died', '--', '<num>', '<num>', '<num>', 'times', '<org>', 'expected', 'number', '.']","['IN', 'CD', 'NNS', 'WP', 'VBD', 'RB', 'IN', 'DT', 'NN', ',', 'CD', 'VBP', 'VBN', ':', 'JJ', 'IN', 'CD', 'NNS', 'DT', 'VBN', 'NN', '.']",22
16,train,3,13,"['<num>', '<org>', '<org>', '<num>', 'surviving', 'workers', 'have', 'asbestos-related', 'diseases', ',', 'including', '<num>', 'with', 'recently', 'diagnosed', 'cancer', '.']","['CD', 'IN', 'DT', 'CD', 'VBG', 'NNS', 'VBP', 'JJ', 'NNS', ',', 'VBG', 'CD', 'IN', 'RB', 'VBN', 'NN', '.']",17
17,train,3,14,"['the', 'total', '<org>', '<num>', 'deaths', 'from', 'malignant', 'mesothelioma', ',', 'lung', 'cancer', 'and', 'asbestosis', 'was', 'far', 'higher', '<num>', 'expected', ',', '<org>', 'researchers', 'said', '.']","['DT', 'NN', 'IN', 'CD', 'NNS', 'IN', 'JJ', 'NN', ',', 'NN', 'NN', 'CC', 'NN', 'VBD', 'RB', 'JJR', 'IN', 'VBN', ',', 'DT', 'NNS', 'VBD', '.']",23
18,train,3,15,"['``', 'the', 'morbidity', 'rate', 'is', 'a', 'striking', 'finding', 'among', 'those', '<org>', 'us', 'who', 'study', 'asbestos-related', 'diseases', ',', ""''"", 'said', 'dr.', '<per>', '.']","['``', 'DT', 'NN', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'IN', 'PRP', 'WP', 'VBP', 'JJ', 'NNS', ',', ""''"", 'VBD', 'NNP', 'NNP', '.']",22
19,train,3,16,"['the', 'percentage', '<org>', 'lung', 'cancer', 'deaths', 'among', '<org>', 'workers', 'at', '<org>', 'west', 'groton', ',', 'mass.', ',', 'paper', 'factory', 'appears', 'to', 'be', '<org>', 'highest', 'for', 'any', 'asbestos', 'workers', 'studied', 'in', 'western', 'industrialized', 'countries', ',', 'he', 'said', '.']","['DT', 'NN', 'IN', 'NN', 'NN', 'NNS', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NNP', 'NNP', ',', 'NNP', ',', 'NN', 'NN', 'VBZ', 'TO', 'VB', 'DT', 'JJS', 'IN', 'DT', 'NN', 'NNS', 'VBN', 'IN', 'JJ', 'VBN', 'NNS', ',', 'PRP', 'VBD', '.']",36
